-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.6993   Longitude -73.5343 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2012,12,31,19,12.63,99.81,0.0
2012,12,31,20,12.33,99.62,0.0
2012,12,31,21,11.96,98.5,0.0
2012,12,31,22,11.6,96.94,0.0
2012,12,31,23,11.29,95.88,0.0
2013,1,1,0,11.11,97.0,0.0
2013,1,1,1,11.05,99.0,0.0
2013,1,1,2,10.99,99.31,0.0
2013,1,1,3,10.93,99.75,0.0
2013,1,1,4,10.86,100.0,0.0
2013,1,1,5,10.8,100.0,0.0
2013,1,1,6,10.93,96.5,0.0
2013,1,1,7,11.54,89.88,0.0
2013,1,1,8,11.29,80.0,0.0
2013,1,1,9,11.35,75.12,0.0
2013,1,1,10,11.66,72.62,0.0
2013,1,1,11,11.9,70.81,0.0
2013,1,1,12,11.96,69.25,0.0
2013,1,1,13,11.9,68.12,0.0
2013,1,1,14,11.84,68.62,0.0
2013,1,1,15,11.84,71.19,0.0
2013,1,1,16,11.96,76.69,0.0
2013,1,1,17,12.51,90.25,0.0
2013,1,1,18,12.51,98.62,0.0
2013,1,1,19,12.33,99.94,0.0
2013,1,1,20,12.15,100.0,0.0
2013,1,1,21,11.84,100.0,0.0
2013,1,1,22,11.6,100.0,0.0
2013,1,1,23,11.35,99.94,0.0
2013,1,2,0,11.05,100.0,0.0
2013,1,2,1,10.8,100.0,0.0
2013,1,2,2,10.56,100.0,0.0
2013,1,2,3,10.38,100.0,0.0
2013,1,2,4,10.31,100.0,0.0
2013,1,2,5,10.31,100.0,0.0
2013,1,2,6,10.62,98.25,0.0
2013,1,2,7,11.23,89.25,0.0
2013,1,2,8,11.23,78.19,0.0
2013,1,2,9,11.41,73.69,0.0
2013,1,2,10,11.72,71.5,0.0
2013,1,2,11,12.02,70.12,0.0
2013,1,2,12,12.33,69.38,0.0
2013,1,2,13,12.39,69.38,0.0
2013,1,2,14,12.33,70.38,0.0
2013,1,2,15,12.27,73.06,0.0
2013,1,2,16,12.27,77.88,0.0
2013,1,2,17,12.7,90.69,0.0
2013,1,2,18,12.57,99.44,0.0
2013,1,2,19,12.39,100.0,0.0
2013,1,2,20,12.15,100.0,0.0
2013,1,2,21,11.78,100.0,0.0
2013,1,2,22,11.47,100.0,0.0
2013,1,2,23,11.29,100.0,0.0
2013,1,3,0,11.05,100.0,0.0
2013,1,3,1,10.86,100.0,0.0
2013,1,3,2,10.8,100.0,0.0
2013,1,3,3,10.74,100.0,0.0
2013,1,3,4,10.74,100.0,0.0
2013,1,3,5,10.68,100.0,0.0
2013,1,3,6,10.93,98.25,0.0
2013,1,3,7,11.6,89.44,0.0
2013,1,3,8,11.47,79.19,0.0
2013,1,3,9,11.54,73.94,0.0
