-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.6993   Longitude -73.5343 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB
2012,12,31,19,0.0,0.0,-999.0
2012,12,31,20,0.0,0.0,-999.0
2012,12,31,21,0.0,0.0,-999.0
2012,12,31,22,0.0,0.0,-999.0
2012,12,31,23,0.0,0.0,-999.0
2013,1,1,0,0.0,0.0,-999.0
2013,1,1,1,0.0,0.0,-999.0
2013,1,1,2,0.0,0.0,-999.0
2013,1,1,3,0.0,0.0,-999.0
2013,1,1,4,0.0,0.0,-999.0
2013,1,1,5,0.0,0.0,-999.0
2013,1,1,6,22.95,55.44,0.18
2013,1,1,7,119.83,269.64,0.09
2013,1,1,8,229.38,505.02,0.11
2013,1,1,9,323.2,702.21,0.12
2013,1,1,10,374.35,811.87,0.12
2013,1,1,11,425.9,914.8,0.13
2013,1,1,12,416.67,892.91,0.13
2013,1,1,13,375.17,803.28,0.12
2013,1,1,14,298.4,637.48,0.12
2013,1,1,15,210.73,454.25,0.12
2013,1,1,16,110.33,242.73,0.12
2013,1,1,17,16.7,40.07,0.17
2013,1,1,18,0.0,0.0,-999.0
2013,1,1,19,0.0,0.0,-999.0
2013,1,1,20,0.0,0.0,-999.0
2013,1,1,21,0.0,0.0,-999.0
2013,1,1,22,0.0,0.0,-999.0
2013,1,1,23,0.0,0.0,-999.0
2013,1,2,0,0.0,0.0,-999.0
2013,1,2,1,0.0,0.0,-999.0
2013,1,2,2,0.0,0.0,-999.0
2013,1,2,3,0.0,0.0,-999.0
2013,1,2,4,0.0,0.0,-999.0
2013,1,2,5,0.0,0.0,-999.0
2013,1,2,6,19.05,44.8,0.17
2013,1,2,7,99.98,216.99,0.12
2013,1,2,8,194.7,419.41,0.13
2013,1,2,9,293.88,626.27,0.13
2013,1,2,10,373.27,802.87,0.14
2013,1,2,11,392.1,825.95,0.14
2013,1,2,12,370.08,781.38,0.14
2013,1,2,13,349.8,741.52,0.13
2013,1,2,14,277.5,589.99,0.13
2013,1,2,15,195.35,420.14,0.12
2013,1,2,16,99.73,218.22,0.12
2013,1,2,17,15.88,37.6,0.17
2013,1,2,18,0.0,0.0,-999.0
2013,1,2,19,0.0,0.0,-999.0
2013,1,2,20,0.0,0.0,-999.0
2013,1,2,21,0.0,0.0,-999.0
2013,1,2,22,0.0,0.0,-999.0
