-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.6993   Longitude -73.5343 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2012,12,31,19,79.56,1.26,49.28,2.26
2012,12,31,20,79.61,1.16,48.01,2.24
2012,12,31,21,79.62,1.06,48.58,2.12
2012,12,31,22,79.62,1.02,51.55,1.94
2012,12,31,23,79.6,1.0,61.64,1.88
2013,1,1,0,79.55,1.19,67.15,2.25
2013,1,1,1,79.47,1.29,71.24,2.33
2013,1,1,2,79.43,1.25,78.83,2.25
2013,1,1,3,79.43,1.29,81.62,2.39
2013,1,1,4,79.46,1.52,77.54,3.02
2013,1,1,5,79.52,1.62,75.76,3.2
2013,1,1,6,79.6,2.06,83.04,3.37
2013,1,1,7,79.67,3.48,91.16,4.24
2013,1,1,8,79.71,4.18,92.57,4.98
2013,1,1,9,79.7,4.45,92.31,5.23
2013,1,1,10,79.67,4.52,91.78,5.23
2013,1,1,11,79.62,4.53,92.18,5.13
2013,1,1,12,79.55,4.47,92.61,4.99
2013,1,1,13,79.47,4.28,93.14,4.74
2013,1,1,14,79.41,3.93,92.96,4.33
2013,1,1,15,79.39,3.52,92.04,3.88
2013,1,1,16,79.4,2.92,89.54,3.3
2013,1,1,17,79.43,1.74,86.91,2.5
2013,1,1,18,79.47,1.31,73.4,2.14
2013,1,1,19,79.53,1.23,57.72,2.0
2013,1,1,20,79.58,1.09,44.42,1.82
2013,1,1,21,79.58,1.17,42.84,1.88
2013,1,1,22,79.56,1.14,47.49,1.74
2013,1,1,23,79.54,1.08,62.51,1.66
2013,1,2,0,79.5,1.15,73.41,1.83
2013,1,2,1,79.44,1.19,75.96,1.95
2013,1,2,2,79.4,1.17,72.17,1.9
2013,1,2,3,79.39,1.22,69.83,2.1
2013,1,2,4,79.4,1.3,67.75,2.33
2013,1,2,5,79.46,1.47,68.77,2.84
2013,1,2,6,79.52,2.02,77.74,3.36
2013,1,2,7,79.59,3.24,87.92,4.08
2013,1,2,8,79.63,4.16,90.97,5.04
2013,1,2,9,79.64,4.48,94.6,5.24
2013,1,2,10,79.62,4.56,96.69,5.22
2013,1,2,11,79.58,4.55,96.81,5.11
2013,1,2,12,79.5,4.43,95.87,4.91
2013,1,2,13,79.42,4.28,94.4,4.73
2013,1,2,14,79.36,4.08,92.41,4.53
