-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.8872   Longitude -73.3684 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1547.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2012,12,31,19,14.16,97.81,0.0
2012,12,31,20,13.67,96.75,0.0
2012,12,31,21,13.31,95.06,0.0
2012,12,31,22,12.94,92.81,0.0
2012,12,31,23,12.82,91.88,0.0
2013,1,1,0,12.76,91.94,0.0
2013,1,1,1,12.51,92.0,0.0
2013,1,1,2,12.33,92.12,0.0
2013,1,1,3,12.27,93.19,0.0
2013,1,1,4,12.15,94.44,0.0
2013,1,1,5,12.08,96.25,0.0
2013,1,1,6,12.39,94.75,0.0
2013,1,1,7,13.24,91.38,0.0
2013,1,1,8,13.0,83.38,0.0
2013,1,1,9,13.24,80.19,0.0
2013,1,1,10,13.49,77.25,0.0
2013,1,1,11,13.67,74.69,0.0
2013,1,1,12,13.73,72.44,0.0
2013,1,1,13,13.73,71.44,0.0
2013,1,1,14,13.79,72.0,0.0
2013,1,1,15,13.92,74.88,0.0
2013,1,1,16,14.22,80.75,0.0
2013,1,1,17,14.83,93.38,0.0
2013,1,1,18,14.59,98.31,0.0
2013,1,1,19,14.28,97.88,0.0
2013,1,1,20,14.04,97.75,0.0
2013,1,1,21,13.73,99.25,0.0
2013,1,1,22,13.37,99.56,0.0
2013,1,1,23,13.06,99.06,0.0
2013,1,2,0,12.82,96.5,0.0
2013,1,2,1,12.57,96.5,0.0
2013,1,2,2,12.33,97.81,0.0
2013,1,2,3,12.15,97.62,0.0
2013,1,2,4,11.96,97.88,0.0
2013,1,2,5,11.78,98.31,0.0
2013,1,2,6,12.02,96.0,0.0
2013,1,2,7,12.7,87.19,0.0
2013,1,2,8,12.63,76.88,0.0
2013,1,2,9,12.7,71.81,0.0
2013,1,2,10,13.0,69.88,0.0
2013,1,2,11,13.37,68.62,0.0
2013,1,2,12,13.55,67.88,0.0
2013,1,2,13,13.67,68.38,0.0
2013,1,2,14,13.79,70.0,0.0
2013,1,2,15,13.98,73.81,0.0
2013,1,2,16,14.34,80.44,0.0
2013,1,2,17,14.71,90.81,0.0
2013,1,2,18,14.16,93.06,0.0
2013,1,2,19,14.04,96.06,0.0
2013,1,2,20,13.79,98.0,0.0
2013,1,2,21,13.43,98.19,0.0
2013,1,2,22,13.12,97.0,0.0
2013,1,2,23,12.82,96.81,0.0
2013,1,3,0,12.57,97.25,0.0
2013,1,3,1,12.33,97.0,0.0
2013,1,3,2,12.08,95.62,0.0
2013,1,3,3,11.78,94.38,0.0
2013,1,3,4,11.54,93.38,0.0
2013,1,3,5,11.29,92.69,0.0
2013,1,3,6,11.78,92.81,0.0
2013,1,3,7,12.08,81.88,0.0
2013,1,3,8,11.66,71.94,0.0
2013,1,3,9,11.54,65.69,0.0
2013,1,3,10,11.54,62.06,0.0
2013,1,3,11,11.84,61.31,0.0
2013,1,3,12,12.27,61.75,0.0
2013,1,3,13,12.63,63.0,0.0
2013,1,3,14,12.94,65.38,0.0
2013,1,3,15,13.37,69.88,0.0
2013,1,3,16,13.85,77.25,0.0
2013,1,3,17,14.28,88.06,0.0
2013,1,3,18,14.04,93.56,0.0
2013,1,3,19,13.18,92.62,0.0
2013,1,3,20,12.63,93.0,0.0
2013,1,3,21,12.21,91.81,0.0
2013,1,3,22,11.84,89.94,0.0
2013,1,3,23,11.47,88.5,0.0
2013,1,4,0,11.23,87.31,0.0
2013,1,4,1,11.05,86.06,0.0
2013,1,4,2,10.8,86.81,0.0
2013,1,4,3,10.68,87.31,0.0
2013,1,4,4,10.5,86.38,0.0
2013,1,4,5,10.25,85.69,0.0
2013,1,4,6,10.44,86.12,0.0
2013,1,4,7,11.35,79.75,0.0
