-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.8872   Longitude -73.3684 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1547.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,ALLSKY_SFC_PAR_TOT
2012,12,31,19,0.0,-999.0,0.0
2012,12,31,20,0.0,-999.0,0.0
2012,12,31,21,0.0,-999.0,0.0
2012,12,31,22,0.0,-999.0,0.0
2012,12,31,23,0.0,-999.0,0.0
2013,1,1,0,0.0,-999.0,0.0
2013,1,1,1,0.0,-999.0,0.0
2013,1,1,2,0.0,-999.0,0.0
2013,1,1,3,0.0,-999.0,0.0
2013,1,1,4,0.0,-999.0,0.0
2013,1,1,5,0.0,-999.0,0.0
2013,1,1,6,55.44,0.18,22.95
2013,1,1,7,269.64,0.09,119.83
2013,1,1,8,505.02,0.11,229.38
2013,1,1,9,702.21,0.12,323.2
2013,1,1,10,811.87,0.12,374.35
2013,1,1,11,914.8,0.13,425.9
2013,1,1,12,892.91,0.13,416.67
2013,1,1,13,803.28,0.12,375.17
2013,1,1,14,637.48,0.12,298.4
2013,1,1,15,454.25,0.12,210.73
2013,1,1,16,242.73,0.12,110.33
2013,1,1,17,40.07,0.17,16.7
2013,1,1,18,0.0,-999.0,0.0
2013,1,1,19,0.0,-999.0,0.0
2013,1,1,20,0.0,-999.0,0.0
2013,1,1,21,0.0,-999.0,0.0
2013,1,1,22,0.0,-999.0,0.0
2013,1,1,23,0.0,-999.0,0.0
2013,1,2,0,0.0,-999.0,0.0
2013,1,2,1,0.0,-999.0,0.0
2013,1,2,2,0.0,-999.0,0.0
2013,1,2,3,0.0,-999.0,0.0
2013,1,2,4,0.0,-999.0,0.0
2013,1,2,5,0.0,-999.0,0.0
2013,1,2,6,44.8,0.17,19.05
2013,1,2,7,216.99,0.12,99.98
2013,1,2,8,419.41,0.13,194.7
2013,1,2,9,626.27,0.13,293.88
2013,1,2,10,802.87,0.14,373.27
2013,1,2,11,825.95,0.14,392.1
2013,1,2,12,781.38,0.14,370.08
2013,1,2,13,741.52,0.13,349.8
2013,1,2,14,589.99,0.13,277.5
2013,1,2,15,420.14,0.12,195.35
2013,1,2,16,218.22,0.12,99.73
2013,1,2,17,37.6,0.17,15.88
2013,1,2,18,0.0,-999.0,0.0
2013,1,2,19,0.0,-999.0,0.0
2013,1,2,20,0.0,-999.0,0.0
2013,1,2,21,0.0,-999.0,0.0
2013,1,2,22,0.0,-999.0,0.0
2013,1,2,23,0.0,-999.0,0.0
2013,1,3,0,0.0,-999.0,0.0
2013,1,3,1,0.0,-999.0,0.0
2013,1,3,2,0.0,-999.0,0.0
2013,1,3,3,0.0,-999.0,0.0
2013,1,3,4,0.0,-999.0,0.0
2013,1,3,5,0.0,-999.0,0.0
2013,1,3,6,42.83,0.16,18.6
2013,1,3,7,250.32,0.13,115.12
2013,1,3,8,482.9,0.14,223.52
2013,1,3,9,686.38,0.14,320.77
2013,1,3,10,783.59,0.14,368.8
2013,1,3,11,830.09,0.16,395.33
2013,1,3,12,842.27,0.16,398.7
2013,1,3,13,695.77,0.15,329.65
2013,1,3,14,570.77,0.14,268.73
2013,1,3,15,406.42,0.14,189.88
2013,1,3,16,223.09,0.14,101.67
2013,1,3,17,39.14,0.17,16.48
2013,1,3,18,0.0,-999.0,0.0
2013,1,3,19,0.0,-999.0,0.0
2013,1,3,20,0.0,-999.0,0.0
2013,1,3,21,0.0,-999.0,0.0
2013,1,3,22,0.0,-999.0,0.0
2013,1,3,23,0.0,-999.0,0.0
2013,1,4,0,0.0,-999.0,0.0
2013,1,4,1,0.0,-999.0,0.0
2013,1,4,2,0.0,-999.0,0.0
2013,1,4,3,0.0,-999.0,0.0
2013,1,4,4,0.0,-999.0,0.0
2013,1,4,5,0.0,-999.0,0.0
2013,1,4,6,41.24,0.16,17.27
2013,1,4,7,200.52,0.13,90.58
2013,1,4,8,352.82,0.14,163.35
2013,1,4,9,544.62,0.15,259.6
2013,1,4,10,688.7,0.16,322.73
2013,1,4,11,826.51,0.15,387.8
2013,1,4,12,776.72,0.15,364.62
2013,1,4,13,654.77,0.14,304.6
2013,1,4,14,502.98,0.14,237.08
2013,1,4,15,370.46,0.14,172.4
