-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.8872   Longitude -73.3684 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1547.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET
2012,12,31,19,17.17,16.58,16.88
2012,12,31,20,16.82,16.08,16.45
2012,12,31,21,16.65,15.62,16.14
2012,12,31,22,16.62,15.22,15.91
2012,12,31,23,16.58,15.02,15.8
2013,1,1,0,16.47,14.94,15.7
2013,1,1,1,16.18,14.71,15.44
2013,1,1,2,15.94,14.52,15.23
2013,1,1,3,15.62,14.4,15.01
2013,1,1,4,15.33,14.32,14.83
2013,1,1,5,14.96,14.26,14.61
2013,1,1,6,15.59,14.63,15.11
2013,1,1,7,17.22,15.61,16.41
2013,1,1,8,18.37,15.37,16.87
2013,1,1,9,19.32,15.69,17.51
2013,1,1,10,20.19,15.95,18.08
2013,1,1,11,20.94,16.15,18.55
2013,1,1,12,21.52,16.24,18.88
2013,1,1,13,21.73,16.21,18.97
2013,1,1,14,21.62,16.21,18.91
2013,1,1,15,21.12,16.36,18.74
2013,1,1,16,20.26,16.65,18.46
2013,1,1,17,18.57,17.19,17.88
2013,1,1,18,17.54,17.02,17.28
2013,1,1,19,17.3,16.76,17.03
2013,1,1,20,17.0,16.46,16.73
2013,1,1,21,16.43,16.12,16.28
2013,1,1,22,15.97,15.73,15.85
2013,1,1,23,15.69,15.37,15.53
2013,1,2,0,15.84,15.12,15.48
2013,1,2,1,15.52,14.81,15.16
2013,1,2,2,15.01,14.51,14.76
2013,1,2,3,14.77,14.24,14.51
2013,1,2,4,14.5,14.01,14.26
2013,1,2,5,14.2,13.8,14.0
2013,1,2,6,14.9,14.11,14.51
2013,1,2,7,17.28,14.94,16.12
2013,1,2,8,19.17,14.9,17.04
2013,1,2,9,20.41,15.05,17.73
2013,1,2,10,21.24,15.41,18.33
2013,1,2,11,21.92,15.79,18.85
2013,1,2,12,22.32,16.01,19.16
2013,1,2,13,22.34,16.15,19.24
2013,1,2,14,22.08,16.24,19.16
2013,1,2,15,21.43,16.44,18.94
2013,1,2,16,20.48,16.78,18.62
2013,1,2,17,18.9,17.08,17.99
2013,1,2,18,17.97,16.66,17.32
2013,1,2,19,17.33,16.52,16.93
2013,1,2,20,16.71,16.23,16.47
2013,1,2,21,16.26,15.83,16.05
2013,1,2,22,16.08,15.48,15.79
2013,1,2,23,15.8,15.19,15.49
2013,1,3,0,15.43,14.87,15.15
2013,1,3,1,15.12,14.54,14.83
2013,1,3,2,14.99,14.19,14.59
2013,1,3,3,14.84,13.83,14.33
2013,1,3,4,14.69,13.48,14.08
2013,1,3,5,14.52,13.16,13.84
2013,1,3,6,15.1,13.75,14.43
2013,1,3,7,17.47,14.09,15.78
2013,1,3,8,19.01,13.6,16.31
2013,1,3,9,20.36,13.51,16.94
2013,1,3,10,21.24,13.58,17.41
2013,1,3,11,21.88,14.02,17.95
2013,1,3,12,22.32,14.55,18.44
2013,1,3,13,22.45,15.0,18.73
2013,1,3,14,22.23,15.33,18.78
2013,1,3,15,21.6,15.74,18.67
2013,1,3,16,20.55,16.2,18.37
2013,1,3,17,18.98,16.7,17.83
2013,1,3,18,17.72,16.41,17.07
2013,1,3,19,16.89,15.51,16.2
2013,1,3,20,16.19,14.9,15.55
2013,1,3,21,15.85,14.34,15.1
2013,1,3,22,15.7,13.87,14.78
2013,1,3,23,15.48,13.4,14.44
2013,1,4,0,15.32,13.01,14.16
2013,1,4,1,15.3,12.74,14.02
2013,1,4,2,14.87,12.46,13.66
2013,1,4,3,14.53,12.23,13.38
2013,1,4,4,14.46,12.01,13.23
2013,1,4,5,14.29,11.71,13.0
2013,1,4,6,14.5,11.97,13.23
2013,1,4,7,16.94,13.19,15.07
2013,1,4,8,18.8,13.3,16.05
2013,1,4,9,20.31,13.84,17.08
2013,1,4,10,21.23,14.37,17.8
2013,1,4,11,21.9,15.03,18.47
2013,1,4,12,22.29,15.58,18.94
2013,1,4,13,22.32,15.9,19.11
2013,1,4,14,21.93,16.11,19.01
2013,1,4,15,21.15,16.3,18.73
2013,1,4,16,20.09,16.57,18.33
2013,1,4,17,18.37,16.97,17.67
2013,1,4,18,17.43,16.86,17.14
2013,1,4,19,17.16,16.59,16.87
2013,1,4,20,16.59,16.26,16.43
2013,1,4,21,16.07,15.87,15.97
2013,1,4,22,15.61,15.43,15.52
2013,1,4,23,15.26,14.94,15.09
2013,1,5,0,15.05,14.55,14.8
2013,1,5,1,15.04,14.05,14.55
2013,1,5,2,14.97,13.38,14.18
2013,1,5,3,14.71,12.76,13.73
2013,1,5,4,14.48,12.15,13.32
2013,1,5,5,14.81,11.67,13.24
2013,1,5,6,15.46,12.01,13.73
2013,1,5,7,17.9,14.39,16.15
2013,1,5,8,19.71,14.09,16.9
2013,1,5,9,20.8,14.4,17.6
2013,1,5,10,21.76,14.73,18.25
2013,1,5,11,22.55,15.18,18.86
2013,1,5,12,23.07,15.44,19.26
2013,1,5,13,23.15,15.58,19.37
2013,1,5,14,22.82,15.67,19.24
2013,1,5,15,22.11,15.9,19.01
2013,1,5,16,20.98,16.47,18.73
2013,1,5,17,19.09,17.06,18.08
2013,1,5,18,17.73,16.37,17.05
2013,1,5,19,16.8,15.8,16.3
2013,1,5,20,16.03,15.08,15.56
2013,1,5,21,15.47,14.31,14.89
2013,1,5,22,14.95,13.39,14.17
2013,1,5,23,14.56,12.48,13.51
2013,1,6,0,14.25,11.69,12.97
2013,1,6,1,13.91,10.86,12.39
2013,1,6,2,13.69,10.03,11.86
2013,1,6,3,13.41,9.15,11.28
2013,1,6,4,13.17,8.34,10.76
2013,1,6,5,12.7,8.06,10.38
2013,1,6,6,13.15,9.52,11.33
2013,1,6,7,16.42,11.44,13.93
2013,1,6,8,18.4,10.99,14.69
2013,1,6,9,19.82,11.44,15.63
2013,1,6,10,20.98,11.3,16.14
2013,1,6,11,21.87,11.31,16.59
2013,1,6,12,22.43,11.47,16.94
2013,1,6,13,22.59,11.81,17.2
2013,1,6,14,22.35,12.32,17.33
2013,1,6,15,21.69,12.97,17.33
2013,1,6,16,20.58,14.12,17.35
2013,1,6,17,18.72,14.84,16.78
2013,1,6,18,17.33,13.49,15.41
2013,1,6,19,16.19,13.19,14.69
2013,1,6,20,15.25,12.72,13.98
2013,1,6,21,14.65,11.93,13.29
2013,1,6,22,14.25,11.4,12.83
2013,1,6,23,14.21,10.72,12.46
2013,1,7,0,14.0,10.09,12.05
2013,1,7,1,13.55,9.42,11.48
2013,1,7,2,13.19,8.69,10.94
2013,1,7,3,13.01,7.95,10.48
2013,1,7,4,12.96,7.23,10.1
2013,1,7,5,12.88,6.61,9.75
2013,1,7,6,13.4,7.64,10.52
2013,1,7,7,16.39,10.26,13.33
2013,1,7,8,18.49,10.7,14.6
2013,1,7,9,20.23,11.93,16.08
2013,1,7,10,21.51,12.24,16.87
2013,1,7,11,22.27,12.7,17.48
2013,1,7,12,22.75,13.13,17.94
2013,1,7,13,22.89,13.61,18.25
2013,1,7,14,22.69,14.07,18.38
2013,1,7,15,22.12,14.58,18.36
2013,1,7,16,21.15,15.41,18.28
2013,1,7,17,19.39,16.02,17.71
2013,1,7,18,18.05,15.01,16.52
2013,1,7,19,17.13,14.53,15.83
2013,1,7,20,16.51,14.2,15.36
2013,1,7,21,16.22,13.81,15.01
2013,1,7,22,16.05,13.37,14.71
2013,1,7,23,15.75,12.94,14.34
2013,1,8,0,15.39,12.56,13.98
2013,1,8,1,15.14,12.33,13.73
2013,1,8,2,14.87,12.04,13.45
2013,1,8,3,14.44,11.66,13.05
2013,1,8,4,13.96,11.21,12.58
2013,1,8,5,13.56,10.72,12.14
2013,1,8,6,14.2,11.74,12.98
2013,1,8,7,16.63,13.3,14.97
2013,1,8,8,18.08,13.28,15.68
2013,1,8,9,19.34,13.92,16.63
2013,1,8,10,20.78,14.4,17.59
2013,1,8,11,21.68,14.87,18.28
2013,1,8,12,22.12,15.23,18.68
2013,1,8,13,22.25,15.48,18.87
2013,1,8,14,22.16,15.59,18.88
2013,1,8,15,21.62,15.83,18.73
2013,1,8,16,20.66,16.44,18.55
2013,1,8,17,19.01,17.04,18.03
2013,1,8,18,17.9,16.28,17.09
2013,1,8,19,17.15,15.8,16.48
2013,1,8,20,16.53,15.3,15.92
2013,1,8,21,16.26,14.58,15.43
2013,1,8,22,16.23,13.98,15.11
2013,1,8,23,16.21,13.64,14.92
2013,1,9,0,16.01,13.52,14.77
2013,1,9,1,15.77,13.3,14.54
2013,1,9,2,15.69,13.08,14.39
2013,1,9,3,15.55,12.94,14.25
2013,1,9,4,15.32,12.98,14.15
2013,1,9,5,15.18,12.97,14.08
2013,1,9,6,15.61,13.85,14.73
2013,1,9,7,17.11,14.93,16.01
2013,1,9,8,18.45,15.5,16.98
2013,1,9,9,19.92,15.91,17.92
2013,1,9,10,20.95,15.88,18.41
