-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  4.8872   Longitude -73.3684 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1547.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2012,12,31,19,84.82,1.1,23.84,1.99
2012,12,31,20,84.86,1.05,13.31,2.27
2012,12,31,21,84.87,1.1,2.86,2.26
2012,12,31,22,84.87,1.02,0.87,2.05
2012,12,31,23,84.85,0.98,7.29,1.74
2013,1,1,0,84.8,1.0,12.19,1.51
2013,1,1,1,84.74,1.02,31.49,1.54
2013,1,1,2,84.7,1.05,37.72,1.6
2013,1,1,3,84.7,1.07,33.11,1.63
2013,1,1,4,84.75,1.08,20.27,1.6
2013,1,1,5,84.81,1.01,9.39,1.53
2013,1,1,6,84.89,0.86,32.39,1.38
2013,1,1,7,84.97,1.25,91.07,1.7
2013,1,1,8,85.01,2.39,98.63,3.02
2013,1,1,9,85.01,2.86,101.68,3.49
2013,1,1,10,84.98,3.05,102.12,3.67
2013,1,1,11,84.92,3.14,102.51,3.73
2013,1,1,12,84.83,3.14,103.66,3.67
2013,1,1,13,84.74,3.05,104.68,3.53
2013,1,1,14,84.67,2.89,106.48,3.35
2013,1,1,15,84.65,2.73,107.5,3.21
2013,1,1,16,84.67,2.32,108.86,2.79
2013,1,1,17,84.7,1.29,110.19,2.04
2013,1,1,18,84.74,0.94,94.29,1.48
2013,1,1,19,84.81,0.79,62.16,1.22
2013,1,1,20,84.85,0.76,8.3,1.07
2013,1,1,21,84.85,1.0,341.28,1.45
2013,1,1,22,84.82,1.08,335.66,1.58
2013,1,1,23,84.79,0.91,318.81,1.37
2013,1,2,0,84.75,0.6,319.72,0.83
2013,1,2,1,84.7,0.32,2.79,0.4
2013,1,2,2,84.67,0.44,32.55,0.63
2013,1,2,3,84.68,0.76,37.93,1.15
2013,1,2,4,84.7,1.04,37.99,1.63
2013,1,2,5,84.75,1.2,37.09,1.89
2013,1,2,6,84.82,1.07,38.2,1.76
2013,1,2,7,84.89,1.48,71.85,2.17
2013,1,2,8,84.94,2.38,84.72,3.08
2013,1,2,9,84.95,2.82,94.92,3.53
2013,1,2,10,84.92,2.94,101.82,3.52
2013,1,2,11,84.87,3.03,106.19,3.53
2013,1,2,12,84.79,3.13,108.66,3.57
2013,1,2,13,84.7,3.15,111.09,3.57
2013,1,2,14,84.63,3.1,113.01,3.52
2013,1,2,15,84.6,2.92,114.02,3.37
2013,1,2,16,84.63,2.49,113.43,3.0
2013,1,2,17,84.68,1.46,109.02,2.16
2013,1,2,18,84.77,0.75,80.44,1.24
2013,1,2,19,84.85,0.79,35.74,1.27
2013,1,2,20,84.9,0.93,21.62,1.56
2013,1,2,21,84.92,0.97,27.18,1.85
2013,1,2,22,84.9,1.04,25.41,2.09
2013,1,2,23,84.87,1.12,31.92,2.2
2013,1,3,0,84.82,1.16,32.94,2.23
2013,1,3,1,84.76,1.18,31.68,2.25
2013,1,3,2,84.73,1.19,26.9,2.28
2013,1,3,3,84.73,1.25,27.53,2.36
2013,1,3,4,84.77,1.29,30.13,2.39
2013,1,3,5,84.84,1.52,31.97,2.5
2013,1,3,6,84.92,1.55,43.57,2.81
2013,1,3,7,85.0,2.03,64.52,3.13
2013,1,3,8,85.06,2.47,73.86,3.24
