strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],co2_regression [kg]
cost_conventional,72.60000000000001,61.568999999999996,86.4215,114.0,60.300000000000004,24,36.9,9.9,605.0,206.14999999999998,1123656.77344471,6197644.60574531,10883016898608.344,0,0
cost_conventional,69.3,64.98949999999999,90.97,114.0,73.7,21.6,41,9.9,577.5,238.70000000000002,32709.3643550685,6878199.15089974,10696156740321.29,0,0
co2_conventional,69.3,64.98949999999999,90.97,114.0,73.7,21.6,41,9.9,577.5,238.70000000000002,6693830.98429396,1355508.1859234,0.0,4313087163084.7407,0
co2_conventional,72.60000000000001,61.568999999999996,86.4215,114.0,60.300000000000004,24,36.9,9.9,605.0,206.14999999999998,6636185.80002264,1411847.1483685,0.0,4556570496283.982,0
cost_conventional,69.3,71.8305,100.06700000000001,114.0,70.35000000000001,24,36.9,11.55,550.0,217.0,32709.3643550685,5066606.00648654,10906443909670.021,0,0
cost_conventional,66.0,68.41,86.4215,114.0,73.7,26.400000000000002,43.050000000000004,10.45,522.5,227.85000000000002,1455385.31156286,3561132.13503585,10416524347706.092,0,0
co2_conventional,69.3,71.8305,100.06700000000001,114.0,70.35000000000001,24,36.9,11.55,550.0,217.0,6642605.09472334,1405573.31287576,0.0,4499424921097.542,0
co2_conventional,66.0,68.41,86.4215,114.0,73.7,26.400000000000002,43.050000000000004,10.45,522.5,227.85000000000002,6859182.17516041,1193903.80126864,0.0,4623034086436.245,0
cost_conventional,66.0,71.8305,95.5185,114.0,63.65,21.6,45.1,9.9,605.0,217.0,32709.3643550685,3695350.38926956,10516531903270.21,0,0
cost_conventional,72.60000000000001,75.251,95.5185,114.0,63.65,26.400000000000002,43.050000000000004,11.0,522.5,206.14999999999998,171418.73956854,4616941.70480614,11337072208960.479,0,0
co2_conventional,72.60000000000001,75.251,95.5185,114.0,63.65,26.400000000000002,43.050000000000004,11.0,522.5,206.14999999999998,6847416.15531245,1205403.20679092,0.0,4641332980571.137,0
co2_conventional,66.0,71.8305,95.5185,114.0,63.65,21.6,45.1,9.9,605.0,217.0,6729629.31263319,1320521.03649547,0.0,4401460651545.014,0
cost_conventional,72.60000000000001,68.41,95.5185,126.0,63.65,22.799999999999997,36.9,11.55,577.5,227.85000000000002,999222.714918354,6283619.13293731,11258247197153.09,0,0
cost_conventional,66.0,71.8305,100.06700000000001,132.0,70.35000000000001,26.400000000000002,43.050000000000004,11.55,495.0,206.14999999999998,1055476.10364839,3040148.14530734,10736926247260.936,0,0
co2_conventional,72.60000000000001,68.41,95.5185,126.0,63.65,22.799999999999997,36.9,11.55,577.5,227.85000000000002,6600948.40357967,1446286.0764413,0.0,4470831324925.067,0
co2_conventional,66.0,71.8305,100.06700000000001,132.0,70.35000000000001,26.400000000000002,43.050000000000004,11.55,495.0,206.14999999999998,6875135.18417788,1178312.28244043,0.0,4595284892566.736,0
cost_conventional,69.3,68.41,90.97,120.0,70.35000000000001,21.6,36.9,11.0,550.0,195.3,1205848.37330901,6140856.42394707,10849911584725.053,0,0
cost_conventional,62.699999999999996,71.8305,100.06700000000001,120.0,63.65,22.799999999999997,36.9,12.100000000000001,495.0,195.3,32709.3643550685,3331139.26133145,10208648841974.865,0,0
co2_conventional,69.3,68.41,90.97,120.0,70.35000000000001,21.6,36.9,11.0,550.0,195.3,6634215.32758051,1413772.97052206,0.0,4249288974502.9165,0
co2_conventional,62.699999999999996,71.8305,100.06700000000001,120.0,63.65,22.799999999999997,36.9,12.100000000000001,495.0,195.3,6677292.1983948,1371672.20811256,0.0,4265324032730.347,0
cost_conventional,62.699999999999996,68.41,100.06700000000001,120.0,60.300000000000004,24,36.9,10.45,605.0,238.70000000000002,32709.3643550685,4002517.66762225,10145410604701.947,0,0
cost_conventional,69.3,61.568999999999996,95.5185,108.0,60.300000000000004,24.0,36.9,12.100000000000001,522.5,195.3,32709.3643550706,6878199.15089974,10493635638156.713,0,0
co2_conventional,62.699999999999996,68.41,100.06700000000001,120.0,60.300000000000004,24,36.9,10.45,605.0,238.70000000000002,6619940.09416622,1427724.73161693,0.0,4599438834233.798,0
co2_conventional,69.3,61.568999999999996,95.5185,108.0,60.300000000000004,24.0,36.9,12.100000000000001,522.5,195.3,6666284.83671214,1382430.14642603,0.0,4444234663858.469,0
cost_conventional,66.0,75.251,100.06700000000001,120.0,73.7,24,41.0,12.100000000000001,495.0,238.70000000000002,124769.153061407,3172134.28681947,10665167805031.121,0,0
cost_conventional,59.4,68.41,86.4215,120.0,63.65,24.0,36.9,9.9,577.5,217.0,1545345.29815754,2154767.2834534,9680599030966.668,0,0
co2_conventional,66.0,75.251,100.06700000000001,120.0,73.7,24,41.0,12.100000000000001,495.0,238.70000000000002,6768197.67909401,1282826.61714245,0.0,4416754319950.344,0
co2_conventional,59.4,68.41,86.4215,120.0,63.65,24.0,36.9,9.9,577.5,217.0,6666418.83899274,1382299.18059515,0.0,4488902584942.396,0
cost_conventional,72.60000000000001,68.41,86.4215,132.0,60.300000000000004,21.6,43.050000000000004,11.55,550.0,206.14999999999998,2148802.91098825,5489346.12603814,11178351197462.273,0,0
cost_conventional,59.4,64.98949999999999,90.97,126.0,60.300000000000004,21.6,41,9.9,495.0,206.14999999999998,1278761.94422672,2903569.80263899,9732687488358.803,0,0
co2_conventional,72.60000000000001,68.41,86.4215,132.0,60.300000000000004,21.6,43.050000000000004,11.55,550.0,206.14999999999998,6717070.38446152,1332795.38328711,0.0,4321245457562.503,0
co2_conventional,59.4,64.98949999999999,90.97,126.0,60.300000000000004,21.6,41,9.9,495.0,206.14999999999998,6813951.69962196,1238109.36839356,0.0,4077002728573.973,0
cost_conventional,62.699999999999996,75.251,81.873,126.0,70.35000000000001,22.799999999999997,41.0,10.45,605.0,227.85000000000002,2236057.83214234,1578169.20309558,10109418937321.326,0,0
cost_conventional,66.0,61.568999999999996,90.97,132.0,63.65,24.0,41,11.55,605.0,206.14999999999998,1361494.69026236,6033316.58583751,10400514959938.852,0,0
co2_conventional,62.699999999999996,75.251,81.873,126.0,70.35000000000001,22.799999999999997,41.0,10.45,605.0,227.85000000000002,6669746.36877205,1379047.05159875,0.0,4514832355862.653,0
co2_conventional,66.0,61.568999999999996,90.97,132.0,63.65,24.0,41,11.55,605.0,206.14999999999998,6663606.49455272,1385047.79819073,0.0,4666304260259.134,0
cost_conventional,62.699999999999996,64.98949999999999,100.06700000000001,114.0,60.300000000000004,21.6,45.1,9.9,522.5,206.14999999999998,32709.3643550685,5635372.50020749,9997534588145.262,0,0
cost_conventional,66.0,71.8305,81.873,120.0,73.7,21.6,38.949999999999996,11.0,577.5,217.0,2186092.28177995,2160163.27111052,10433159236647.064,0,0
co2_conventional,62.699999999999996,64.98949999999999,100.06700000000001,114.0,60.300000000000004,21.6,45.1,9.9,522.5,206.14999999999998,6853030.5569276,1199916.02575843,0.0,4174485803265.818,0
co2_conventional,66.0,71.8305,81.873,120.0,73.7,21.6,38.949999999999996,11.0,577.5,217.0,6636185.80002263,1411847.14836851,0.0,4345454104092.1255,0
