strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],original_cost_new_param [$],original_co2_new_param [kg]
cost_conventional,66,75.251,90.97,108.0,60.300000000000004,25.200000000000003,41,12.100000000000001,577.5,206.14999999999998,941137.809780288,2174362.46266094,10469321092419.447,0,10750876379841.096,16480812899347.627
co2_conventional,66,75.251,90.97,108.0,60.300000000000004,25.200000000000003,41,12.100000000000001,577.5,206.14999999999998,6686105.62925746,1363058.48683367,0.0,4727229847354.375,10750876379841.096,16480812899347.627
cost_conventional,59.4,64.98949999999999,86.4215,120.0,70.35000000000001,21.6,45.1,12.100000000000001,605.0,217.0,1455254.54420663,2687212.07974,9650784200951.877,0,10211766861625.773,16678748046162.006
co2_conventional,59.4,64.98949999999999,86.4215,120.0,70.35000000000001,21.6,45.1,12.100000000000001,605.0,217.0,6677292.19839482,1371672.20811255,0.0,4513324461700.593,10211766861625.773,16678748046162.006
cost_conventional,66,68.41,100.06700000000001,114.0,67.0,25.200000000000003,41,11.0,522.5,206.14999999999998,32709.3643550685,5361176.39796363,10455127777696.426,0,10890369680694.863,15240064310173.23
co2_conventional,66,68.41,100.06700000000001,114.0,67.0,25.200000000000003,41,11.0,522.5,206.14999999999998,6787708.40895157,1263757.99431443,0.0,4524244062143.802,10890369680694.863,15240064310173.23
cost_conventional,62.699999999999996,68.41,90.97,126.0,60.300000000000004,22.799999999999997,43.050000000000004,11.0,495.0,217.0,1418022.88425301,2687439.16360642,10158703258070.303,0,10743085769729.453,14342852200074.08
co2_conventional,62.699999999999996,68.41,90.97,126.0,60.300000000000004,22.799999999999997,43.050000000000004,11.0,495.0,217.0,6836821.24399408,1215758.0407362,0.0,4256083433129.524,10743085769729.453,14342852200074.08
cost_conventional,59.4,75.251,86.4215,114.0,70.35000000000001,22.799999999999997,45.1,11.55,605.0,227.85000000000002,1562525.46473902,1579319.3028502,9700767514372.54,0,10087958056577.205,16842393853419.732
co2_conventional,59.4,75.251,86.4215,114.0,70.35000000000001,22.799999999999997,45.1,11.55,605.0,227.85000000000002,6701246.19256109,1348261.00395381,0.0,4596446826903.103,10087958056577.205,16842393853419.732
cost_conventional,69.3,61.568999999999996,86.4215,126.0,73.7,26.400000000000002,45.1,9.9,550.0,238.70000000000002,1658774.51874289,5827918.69879585,10656521269133.547,0,11566517482804.727,16060635047578.957
co2_conventional,69.3,61.568999999999996,86.4215,126.0,73.7,26.400000000000002,45.1,9.9,550.0,238.70000000000002,6872895.63003425,1180501.08898839,0.0,4685523257432.807,11566517482804.727,16060635047578.957
cost_conventional,69.3,64.98949999999999,86.4215,120.0,63.65,26.400000000000002,41,11.0,495.0,195.3,1562263.42655385,5894600.56723284,10694847827593.498,0,11420125471500.818,14751388184404.072
co2_conventional,69.3,64.98949999999999,86.4215,120.0,63.65,26.400000000000002,41,11.0,495.0,195.3,6855045.08877512,1197947.14257181,0.0,4550224601908.69,11420125471500.818,14751388184404.072
cost_conventional,59.4,64.98949999999999,86.4215,108.0,73.7,22.799999999999997,41,9.9,522.5,217.0,876094.703471944,2945024.40842966,9555149592948.494,0,9946076089950.117,14960578731925.602
co2_conventional,59.4,64.98949999999999,86.4215,108.0,73.7,22.799999999999997,41,9.9,522.5,217.0,6784736.69905665,1266662.36619362,0.0,4261675374227.593,9946076089950.117,14960578731925.602
cost_conventional,62.699999999999996,64.98949999999999,95.5185,108.0,60.300000000000004,22.799999999999997,41,9.9,550.0,206.14999999999998,32709.3643550685,5328887.7906522,9922908705306.848,0,10334212543997.385,15564748364509.63
co2_conventional,62.699999999999996,64.98949999999999,95.5185,108.0,60.300000000000004,22.799999999999997,41,9.9,550.0,206.14999999999998,6743043.89324961,1307410.42607556,0.0,4330277642350.908,10334212543997.385,15564748364509.63
cost_conventional,62.699999999999996,64.98949999999999,95.5185,132.0,67.0,26.400000000000002,38.949999999999996,12.100000000000001,522.5,195.3,1093226.40764807,4726120.10921783,10204436075152.299,0,10885464670223.75,15369576401822.209
co2_conventional,62.699999999999996,64.98949999999999,95.5185,132.0,67.0,26.400000000000002,38.949999999999996,12.100000000000001,522.5,195.3,6727146.84178287,1322947.25533362,0.0,4668887664115.295,10885464670223.75,15369576401822.209
cost_conventional,72.60000000000001,61.568999999999996,90.97,108.0,60.300000000000004,24.0,43.050000000000004,11.0,577.5,206.14999999999998,32709.3643550706,6878199.15089974,10830457642155.418,0,11547711775851.404,16335211567086.898
co2_conventional,72.60000000000001,61.568999999999996,90.97,108.0,60.300000000000004,24.0,43.050000000000004,11.0,577.5,206.14999999999998,6729468.02482044,1320678.66957689,0.0,4578129811014.639,11547711775851.404,16335211567086.898
cost_conventional,66,68.41,90.97,126.0,67.0,22.799999999999997,41,11.0,522.5,227.85000000000002,1453220.9268844,3886126.74642538,10545712216948.88,0,11159119028271.182,14976898815320.416
co2_conventional,66,68.41,90.97,126.0,67.0,22.799999999999997,41,11.0,522.5,227.85000000000002,6744057.55767036,1306419.73097319,0.0,4323248227510.949,11159119028271.182,14976898815320.416
cost_conventional,69.3,75.251,90.97,132.0,63.65,22.799999999999997,43.050000000000004,12.100000000000001,550.0,238.70000000000002,1898026.24018774,2373605.31685804,11046982723506.588,0,11703258827452.844,15615779270471.258
co2_conventional,69.3,75.251,90.97,132.0,63.65,22.799999999999997,43.050000000000004,12.100000000000001,550.0,238.70000000000002,6712633.64557489,1337131.58705976,0.0,4470407107276.706,11703258827452.844,15615779270471.258
cost_conventional,59.4,71.8305,100.06700000000001,132.0,70.35000000000001,22.799999999999997,45.1,11.55,550.0,238.70000000000002,1039428.99928551,2375079.02795686,9958073101666.045,0,10492969152846.35,15617965347640.232
co2_conventional,59.4,71.8305,100.06700000000001,132.0,70.35000000000001,22.799999999999997,45.1,11.55,550.0,238.70000000000002,6767895.77485463,1283121.6803263,0.0,4454722536135.527,10492969152846.35,15617965347640.232
cost_conventional,59.4,61.568999999999996,100.06700000000001,108.0,67.0,25.200000000000003,45.1,9.9,495.0,206.14999999999998,32709.3643550685,5716383.0461007,9486116916490.55,0,9935164268690.201,14624177591315.662
co2_conventional,59.4,61.568999999999996,100.06700000000001,108.0,67.0,25.200000000000003,45.1,9.9,495.0,206.14999999999998,6958910.25278579,1096435.53065624,0.0,4414500108603.731,9935164268690.201,14624177591315.662
cost_conventional,72.60000000000001,64.98949999999999,81.873,132.0,73.7,21.6,36.9,12.100000000000001,550.0,238.70000000000002,2479223.83440083,5261050.2478745,11039108061705.895,0,12110830258246.633,15461202786751.676
co2_conventional,72.60000000000001,64.98949999999999,81.873,132.0,73.7,21.6,36.9,12.100000000000001,550.0,238.70000000000002,6593162.16376615,1453895.88249861,0.0,4324745986103.747,12110830258246.633,15461202786751.676
cost_conventional,66,61.568999999999996,95.5185,132.0,63.65,25.200000000000003,38.949999999999996,11.55,577.5,227.85000000000002,871786.193451939,6371668.13503385,10439996730627.904,0,11282754857059.652,16510574460618.354
co2_conventional,66,61.568999999999996,95.5185,132.0,63.65,25.200000000000003,38.949999999999996,11.55,577.5,227.85000000000002,6666461.7175434,1382257.27365903,0.0,4696550726950.384,11282754857059.652,16510574460618.354
cost_conventional,59.4,75.251,90.97,120.0,60.300000000000004,25.200000000000003,45.1,12.100000000000001,495.0,227.85000000000002,1388776.3391189,1722456.17617269,9787304221118.975,0,10209338863027.164,14656817758105.22
co2_conventional,59.4,75.251,90.97,120.0,60.300000000000004,25.200000000000003,45.1,12.100000000000001,495.0,227.85000000000002,6875705.98396612,1177754.41679667,0.0,4540274843867.113,10209338863027.164,14656817758105.22
cost_conventional,66,68.41,100.06700000000001,108.0,63.65,26.400000000000002,41,10.45,495.0,238.70000000000002,32709.3643550685,5032469.29465791,10375348433889.896,0,10750072826278.906,14815629725458.357
co2_conventional,66,68.41,100.06700000000001,108.0,63.65,26.400000000000002,41,10.45,495.0,238.70000000000002,6861820.57399512,1191325.18772541,0.0,4542214598142.417,10750072826278.906,14815629725458.357
cost_conventional,66,71.8305,90.97,114.0,60.300000000000004,26.400000000000002,36.9,12.100000000000001,495.0,238.70000000000002,1132597.09235671,2580152.37582776,10487335677916.553,0,10882365453988.832,14811372992512.19
co2_conventional,66,71.8305,90.97,114.0,60.300000000000004,26.400000000000002,36.9,12.100000000000001,495.0,238.70000000000002,6723088.8042356,1326913.33902068,0.0,4603414170808.124,10882365453988.832,14811372992512.19
cost_conventional,66,68.41,100.06700000000001,120.0,67.0,25.200000000000003,45.1,11.0,522.5,238.70000000000002,32709.3643550685,5648488.53421467,10528604546612.857,0,11025698889392.13,15292935029128.822
co2_conventional,66,68.41,100.06700000000001,120.0,67.0,25.200000000000003,45.1,11.0,522.5,238.70000000000002,6861075.60220691,1192053.27868616,0.0,4562877045857.861,11025698889392.13,15292935029128.822
cost_conventional,66,61.568999999999996,86.4215,108.0,70.35000000000001,24.0,36.9,10.45,495.0,227.85000000000002,32709.3643550685,6878199.15089974,10169731886598.09,0,10749464243890.248,14499593511650.045
co2_conventional,66,61.568999999999996,86.4215,108.0,70.35000000000001,24.0,36.9,10.45,495.0,227.85000000000002,6737482.80943274,1312845.49747437,0.0,4302534964595.9917,10749464243890.248,14499593511650.045
cost_conventional,59.4,64.98949999999999,90.97,120.0,70.35000000000001,24.0,38.949999999999996,9.9,577.5,195.3,1048751.9956762,3032861.98353553,9694414375598.008,0,10212721396534.828,16314288486570.953
co2_conventional,59.4,64.98949999999999,90.97,120.0,70.35000000000001,24.0,38.949999999999996,9.9,577.5,195.3,6693882.86085229,1355457.48487164,0.0,4491678830121.411,10212721396534.828,16314288486570.953
cost_conventional,69.3,71.8305,86.4215,132.0,73.7,22.799999999999997,43.050000000000004,10.45,550.0,217.0,2190136.02874979,3394747.43162696,10948464068723.693,0,11713367095150.576,15583254525073.338
co2_conventional,69.3,71.8305,86.4215,132.0,73.7,22.799999999999997,43.050000000000004,10.45,550.0,217.0,6766155.57094689,1284822.45175837,0.0,4375852288186.161,11713367095150.576,15583254525073.338
cost_conventional,62.699999999999996,61.568999999999996,95.5185,126.0,67.0,22.799999999999997,41,12.100000000000001,495.0,206.14999999999998,32709.3643550685,6878199.15089974,10043484967292.49,0,10746295326976.982,14324692303685.293
co2_conventional,62.699999999999996,61.568999999999996,95.5185,126.0,67.0,22.799999999999997,41,12.100000000000001,495.0,206.14999999999998,6752558.36639787,1298111.54790974,0.0,4295752435112.2617,10746295326976.982,14324692303685.293
cost_conventional,66,61.568999999999996,90.97,132.0,70.35000000000001,25.200000000000003,38.949999999999996,10.45,605.0,227.85000000000002,1372804.28017868,6025502.5142135,10409696058930.744,0,11291735613588.113,17130602491030.482
co2_conventional,66,61.568999999999996,90.97,132.0,70.35000000000001,25.200000000000003,38.949999999999996,10.45,605.0,227.85000000000002,6666693.97009896,1382030.28387365,0.0,4713794982989.377,11291735613588.113,17130602491030.482
cost_conventional,66,68.41,81.873,120.0,70.35000000000001,25.200000000000003,36.9,11.55,495.0,206.14999999999998,2094234.51622841,3272440.35179641,10389142141057.04,0,11026848395474.64,14615317861248.182
co2_conventional,66,68.41,81.873,120.0,70.35000000000001,25.200000000000003,36.9,11.55,495.0,206.14999999999998,6726188.76012171,1323883.62716432,0.0,4454241173131.967,11026848395474.64,14615317861248.182
cost_conventional,66,64.98949999999999,90.97,120.0,60.300000000000004,21.6,36.9,10.45,605.0,206.14999999999998,920627.067852938,6337922.78320656,10397842017044.438,0,11010014393586.912,16653106547133.262
co2_conventional,66,64.98949999999999,90.97,120.0,60.300000000000004,21.6,36.9,10.45,605.0,206.14999999999998,6593162.16376615,1453895.88249861,0.0,4371715985846.2476,11010014393586.912,16653106547133.262
cost_conventional,62.699999999999996,61.568999999999996,90.97,126.0,67.0,26.400000000000002,43.050000000000004,11.0,577.5,238.70000000000002,1074133.62740747,6231861.35569332,10023533533513.79,0,10745340792067.982,16678823264997.115
