strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],original_cost_new_param [$],original_co2_new_param [kg]
cost_conventional,62.699999999999996,68.41,90.97,132.0,70.35000000000001,22.799999999999997,38.949999999999996,11,495.0,217,1617271.31890785,2717408.91916347,10215677049719.898,6941601361803.1045,10893317915582.879,14338249202952.96
cost_conventional,59.4,64.98949999999999,86.4215,120,73.7,21.6,43.050000000000004,9.9,605.0,238.70000000000002,1462992.86704085,2697024.07732985,9654623274662.9,7943219339736.552,10216734507344.588,16708163343257.824
co2_conventional,62.699999999999996,68.41,90.97,132.0,70.35000000000001,22.799999999999997,38.949999999999996,11,495.0,217,6744781.4214948,1305712.26967637,10976269903213.09,4232225521143.327,10893317915582.879,14338249202952.96
co2_conventional,59.4,64.98949999999999,86.4215,120,73.7,21.6,43.050000000000004,9.9,605.0,238.70000000000002,6697081.52416876,1352331.30226438,10392202265485.277,4399017746236.94,10216734507344.588,16708163343257.824
cost_conventional,62.699999999999996,61.568999999999996,100.06700000000001,108.0,73.7,21.6,43.050000000000004,9.9,550.0,217,32709.3643550685,6878199.15089974,9836261655338.135,10451769682105.123,10351197527231.928,15435467115643.758
cost_conventional,66.0,75.251,95.5185,120,60.300000000000004,24.0,41.0,12.100000000000001,577.5,238.70000000000002,1102564.88299861,2287106.44428856,10617454333908.89,9067473441531.508,11022489332144.559,16381408633144.031
co2_conventional,62.699999999999996,61.568999999999996,100.06700000000001,108.0,73.7,21.6,43.050000000000004,9.9,550.0,217,6766155.57094689,1284822.45175837,11344301213600.72,4242004992924.8564,10351197527231.928,15435467115643.758
co2_conventional,66.0,75.251,95.5185,120,60.300000000000004,24.0,41.0,12.100000000000001,577.5,238.70000000000002,6666693.97009893,1382030.28387368,11488604268230.64,4636519024218.982,11022489332144.559,16381408633144.031
cost_conventional,72.60000000000001,61.568999999999996,90.97,126.0,73.7,21.6,43.050000000000004,9.9,550.0,217,1225637.27713461,6127183.78745026,11042541286239.27,7939355486132.366,11973569984817.96,15435467115643.758
cost_conventional,66.0,64.98949999999999,90.97,132.0,67.0,21.6,45.1,12.100000000000001,522.5,238.70000000000002,1497034.62798039,5939668.73573165,10500865696703.137,7360610787329.575,11290608102418.885,14850149907798.557
co2_conventional,72.60000000000001,61.568999999999996,90.97,126.0,73.7,21.6,43.050000000000004,9.9,550.0,217,6766155.57094689,1284822.45175837,11797042189782.67,4242004992924.8564,11973569984817.96,15435467115643.758
co2_conventional,66.0,64.98949999999999,90.97,132.0,67.0,21.6,45.1,12.100000000000001,522.5,238.70000000000002,6774265.87757401,1276895.92213999,11251125688790.672,4303590713685.2495,11290608102418.885,14850149907798.557
cost_conventional,69.3,68.41,100.06700000000001,108.0,73.7,22.799999999999997,45.1,9.9,550.0,238.70000000000002,32709.3643550685,6878199.15089974,10735123492425.586,10665756490305.56,11171073730539.297,15617619083465.303
cost_conventional,66.0,71.8305,90.97,132.0,67.0,22.799999999999997,41.0,10.45,550.0,227.85000000000002,1748909.47075054,2519449.26899489,10635042085792.002,7156311998249.564,11298288371517.934,15597042267124.314
co2_conventional,69.3,68.41,100.06700000000001,108.0,73.7,22.799999999999997,45.1,9.9,550.0,238.70000000000002,6825616.81946547,1226708.57651323,11980765555718.1,4369676551295.415,11171073730539.297,15617619083465.303
