Timestamp,Cogeneration [kW],Hydro [kW],Solar [kW],Thermal [kW],Wind [kW],Total [kW]
2018-01-01 01:00:00,11229.39,4760322.649999999,0.0,1277047.97,690.92,6049290.929999999
2018-01-01 02:00:00,16010.01,4527134.06,0.0,1266173.77,335.34,5809653.18
2018-01-01 03:00:00,12868.47,4375656.9799999995,0.0,1242631.02,412.36,5631568.829999999
2018-01-01 04:00:00,12610.87,4225279.62,0.0,1215455.63,314.29,5453660.41
2018-01-01 05:00:00,18727.49,4129746.78,0.0,1188698.6199999999,119.98,5337292.87
2018-01-01 06:00:00,17818.47,4098529.53,0.0,1093144.81,10.57,5209503.380000001
2018-01-01 07:00:00,16327.67,3979344.02,0.0,939059.09,137.04,4934867.82
2018-01-01 08:00:00,16917.25,4021581.2199999997,21.52,904665.04,361.39,4943546.419999999
2018-01-01 09:00:00,18462.81,4090559.68,96.0,907149.18,668.88,5016936.55
2018-01-01 10:00:00,18724.38,4070431.87,171.6,1062335.6300000001,1241.97,5152905.45
2018-01-01 11:00:00,10156.82,4183259.14,405.6,1202923.31,1140.73,5397885.600000001
2018-01-01 12:00:00,18345.28,4301297.66,1341.6,1241211.67,1103.43,5563299.64
2018-01-01 13:00:00,17403.3,4411479.38,3333.6,1240436.95,897.01,5673550.239999999
2018-01-01 14:00:00,17064.39,4402655.41,6519.6,1235723.33,924.76,5662887.489999999
2018-01-01 15:00:00,15173.4,4259025.77,5028.0,1255712.43,1508.96,5536448.56
2018-01-01 16:00:00,15460.24,4187586.8499999996,3102.0,1264477.48,2510.55,5473137.12
2018-01-01 17:00:00,17968.37,4167906.53,1356.0,1266482.33,2884.81,5456598.04
2018-01-01 18:00:00,18199.06,4439571.7,134.24,1264587.7,2719.36,5725212.0600000005
2018-01-01 19:00:00,19505.77,5460366.05,0.0,1319492.44,1823.81,6801188.069999999
2018-01-01 20:00:00,19390.960000000003,5618856.51,0.0,1381053.58,1564.06,7020865.109999999
2018-01-01 21:00:00,15095.380000000001,5447265.29,0.0,1414761.08,1134.21,6878255.96
2018-01-01 22:00:00,19509.359999999997,5078623.12,0.0,1388383.01,779.34,6487294.83
2018-01-01 23:00:00,21024.02,4596617.29,0.0,1353019.91,1377.25,5972038.47
2018-01-02 01:00:00,19319.43,4005690.32,0.0,1255810.07,1711.55,5282531.37
2018-01-02 02:00:00,19464.53,3851509.5700000003,0.0,1243178.58,684.98,5114837.66
2018-01-02 03:00:00,19229.05,3754941.1199999996,0.0,1226107.22,557.55,5000834.9399999995
2018-01-02 04:00:00,22078.550000000003,3809664.42,0.0,1159601.23,415.72,4991759.919999999
2018-01-02 05:00:00,34719.65,3803904.09,0.0,1243579.5,639.4,5082842.640000001
2018-01-02 06:00:00,33708.38,3984393.05,0.0,1279396.17,697.89,5298195.489999999
2018-01-02 07:00:00,20432.059999999998,4093515.28,32.07,1263602.27,635.08,5378216.76
2018-01-02 08:00:00,15407.97,4728286.46,733.2,1271622.2,284.61,6016334.44
2018-01-02 09:00:00,15333.37,5260600.64,3548.4,1278315.29,401.93,6558199.63
2018-01-02 10:00:00,15478.36,5591548.91,5308.8,1279032.25,733.42,6892101.74
2018-01-02 11:00:00,14940.1,5940443.63,7804.8,1277845.6400000001,1734.95,7242769.12
2018-01-02 12:00:00,18258.26,6176372.09,6310.8,1298779.22,2824.31,7502544.679999999
2018-01-02 13:00:00,29261.260000000002,6178926.9,6660.0,1318442.35,2246.86,7535537.37
2018-01-02 14:00:00,29523.239999999998,6104182.0600000005,7356.0,1382169.87,1838.04,7525069.210000001
2018-01-02 15:00:00,28422.190000000002,6144884.26,6256.8,1406690.23,1944.33,7588197.8100000005
2018-01-02 16:00:00,32898.020000000004,6135235.11,4549.2,1398132.96,2697.74,7573513.03
2018-01-02 17:00:00,41813.08,6120658.75,3477.6,1312466.25,2913.28,7481328.96
2018-01-02 18:00:00,44782.16,6090021.64,520.72,1313398.97,2185.22,7450908.709999999
2018-01-02 19:00:00,33907.57,6687630.47,0.0,1574493.57,1829.02,8297860.63
2018-01-02 20:00:00,25766.88,6818534.1,0.0,1597673.83,2011.54,8443986.349999998
2018-01-02 21:00:00,37155.51,6552373.19,0.0,1603057.3599999999,1534.07,8194120.130000001
2018-01-02 22:00:00,50304.799999999996,6201253.46,0.0,1528311.21,841.39,7780710.859999999
2018-01-02 23:00:00,44171.1,5489878.16,0.0,1489422.73,720.11,7024192.100000001
2018-01-03 01:00:00,40707.31,4598814.9,0.0,1313552.32,460.18,5953534.71
2018-01-03 02:00:00,52237.81,4443790.22,0.0,1195883.47,716.04,5692627.539999999
2018-01-03 03:00:00,52306.45,4392678.84,0.0,1120806.4,165.44,5565957.13
2018-01-03 04:00:00,51725.51,4325855.17,0.0,1108237.66,203.79,5486022.13
2018-01-03 05:00:00,51365.12,4423930.13,0.0,1114476.8399999999,202.46,5589974.55
2018-01-03 06:00:00,49580.65,4545693.26,0.0,1224257.96,26.22,5819558.09
2018-01-03 07:00:00,34185.92,4714512.62,0.0,1149477.9,185.46,5898361.899999999
2018-01-03 08:00:00,46997.270000000004,5113927.54,525.6,1154127.44,143.51,6315721.359999999
2018-01-03 09:00:00,47134.96,5674198.96,3169.2,1109515.59,412.0,6834430.71
2018-01-03 10:00:00,47302.47,6001141.55,4588.8,1159849.1,1828.18,7214710.1
2018-01-03 11:00:00,48761.909999999996,6284518.16,7479.6,1208113.93,1928.34,7550801.9399999995
2018-01-03 12:00:00,47151.34,6383225.96,8329.2,1300765.41,2160.82,7741632.73
2018-01-03 13:00:00,46342.4,6336474.86,8222.4,1318122.3699999999,1936.19,7711098.220000002
2018-01-03 14:00:00,48195.78,6327949.22,7057.2,1363003.17,1470.99,7747676.36
2018-01-03 15:00:00,48805.6,6490350.31,3962.4,1414416.3499999999,1179.09,7958713.749999999
2018-01-03 16:00:00,49637.71,6423289.1,2185.2,1421037.02,937.45,7897086.4799999995
2018-01-03 17:00:00,49446.67,6245874.75,604.8,1366308.89,1475.91,7663711.02
2018-01-03 18:00:00,48738.47,6239516.39,62.4,1324350.96,2139.91,7614808.13
2018-01-03 19:00:00,48725.990000000005,6832560.06,0.0,1559671.3399999999,1875.4,8442832.790000001
2018-01-03 20:00:00,48788.9,6917905.72,0.0,1588923.34,1994.34,8557612.3
2018-01-03 21:00:00,50297.54,6663826.94,0.0,1593683.34,1797.0,8309604.82
2018-01-03 22:00:00,49829.47,6217655.79,0.0,1568422.19,1174.87,7837082.319999999
2018-01-03 23:00:00,50208.14,5617603.64,0.0,1507031.75,598.53,7175442.06
2018-01-04 01:00:00,49474.770000000004,4753708.14,0.0,1328891.22,242.21,6132316.339999999
2018-01-04 02:00:00,51066.84,4535123.72,0.0,1308234.78,333.19,5894758.53
2018-01-04 03:00:00,50179.77,4371349.74,0.0,1304643.55,92.06,5726265.119999999
2018-01-04 04:00:00,49382.46,4379101.29,0.0,1242317.75,0.0,5670801.5
2018-01-04 05:00:00,51029.99,4477675.89,0.0,1249797.0,0.0,5778502.88
2018-01-04 06:00:00,49610.240000000005,4719927.44,0.0,1249513.42,0.0,6019051.100000001
2018-01-04 07:00:00,51024.47,4775748.7,0.0,1251250.73,0.0,6078023.9
2018-01-04 08:00:00,50723.11,5256968.1899999995,311.96,1253350.06,95.85,6561449.17
2018-01-04 09:00:00,44741.630000000005,5823380.8,1525.2,1253451.9000000001,174.27,7123273.8
2018-01-04 10:00:00,49547.7,6070452.22,7009.2,1248614.7,7.02,7375630.84
2018-01-04 11:00:00,50498.78,6410730.09,8031.6,1271721.58,21.48,7741003.53
2018-01-04 12:00:00,55510.240000000005,6552169.35,7988.4,1342207.9100000001,0.0,7957875.9
2018-01-04 13:00:00,57565.57,6572064.46,6508.8,1326214.32,71.84,7962424.99
2018-01-04 14:00:00,56324.490000000005,6521925.29,4832.4,1377699.22,94.06,7960875.46
2018-01-04 15:00:00,58205.38,6555458.62,2394.0,1445153.71,429.37,8061641.08
2018-01-04 16:00:00,64691.11,6522816.55,3256.8,1449828.84,1783.62,8042376.92
